Samples do not have callchains.
           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
     526.856790 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.542 
     526.958331 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.541 
     527.061469 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.137 
     527.161882 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.413 
     527.265845 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.962 
     527.366441 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.596 
     527.467084 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.642 
     527.569659 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.575 
     527.671883 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.224 
     527.772282 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.398 
     527.876187 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.905 
     527.978828 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.641 
     528.081795 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.966 
     528.182740 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.945 
     528.286415 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.674 
     528.391084 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.668 
     528.491696 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.612 
     528.593681 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.985 
     528.693929 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.247 
     528.795083 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.154 
     528.898993 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.910 
     529.003591 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.597 
     529.103886 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.294 
     529.205574 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.688 
     529.309316 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.741 
     529.411911 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.595 
     529.514320 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.408 
     529.616481 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.161 
     529.721219 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.737 
     529.824823 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.604 
     529.900481 [0003]  threads_app.rb*[2699/2577]          0.000      0.000  10031.605 
     529.925590 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.766 
     530.004279 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.798 
     530.025801 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.211 
     530.105451 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.172 
     530.129051 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.249 
     530.207152 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.700 
     530.230535 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.484 
     530.311811 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.658 
     530.333862 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.327 
     530.414096 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.285 
     530.434130 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.268 
     530.517103 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.006 
     530.536303 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.172 
     530.619655 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.551 
     530.636641 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.337 
     530.721477 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.822 
     530.737018 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.377 
     530.824717 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.239 
     530.841268 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.250 
     530.928758 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.040 
     530.944861 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.593 
     531.030742 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.984 
     531.048626 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.765 
     531.135692 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.949 
     531.150104 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.477 
     531.236269 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    100.577 
     531.250370 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.266 
     531.341529 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    105.259 
     531.353315 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.944 
     531.441979 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    100.449 
     531.454111 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.796 
     531.543629 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.649 
     531.554407 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.296 
     531.646506 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.876 
     531.659292 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.885 
     531.746834 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    100.328 
     531.763129 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.836 
     531.848760 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.925 
     531.865259 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.130 
     531.954155 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    105.395 
     531.969084 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.825 
     532.058325 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.169 
     532.074943 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    105.858 
     532.161910 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.585 
     532.178901 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.958 
     532.263391 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.480 
     532.283646 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.745 
     532.366728 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.337 
